controller,demand,seed,vehicles_loaded,vehicles_arrived,clearing_time,mean_delay,p95_delay,stops_per_vehicle,mean_stopped_time,conflicts_blocked,peds_served,ped_mean_wait,ped_p95_wait
Semi-actuated,1000,3,967,967,3654.0,35.82793387973318,78.363309352518,5.411582213029989,12.099276111685626,0,779,11.825906656196361,32.82943851701657
Semi-actuated,1000,4,1038,1038,3663.5,36.813799795970006,77.75179856115108,5.554913294797688,12.763969171483623,0,693,12.486086723135545,35.114302550611
Semi-actuated,1000,5,1018,1018,3667.5,37.89672374031942,79.40090090090091,5.74656188605108,13.37524557956778,0,758,12.233169020958096,34.14873963007585
Semi-actuated,1000,6,977,977,3730.0,37.97660094282027,97.363309352518,5.89150460593654,13.162231320368475,0,698,11.552485921759345,32.60703807384357
Semi-actuated,1000,7,925,925,3692.0,33.711381866019224,73.25179856115108,5.0864864864864865,11.326486486486486,0,706,12.238415786993336,33.52518456325356
Semi-actuated,1000,8,973,973,3656.0,34.37985019334331,72.64028776978418,5.029804727646455,11.909044193216856,0,718,11.661447461173601,32.285956629788984
Semi-actuated,1500,1,1566,1566,3670.0,74.91021232925571,274.93693693693695,13.04469987228608,26.703065134099617,0,751,12.228682613740984,35.520204556192766
Semi-actuated,1500,2,1526,1526,3660.5,72.91139619210308,270.14028776978415,12.965923984272608,25.462319790301443,0,726,12.492930365257859,35.55681618642825
Semi-actuated,1500,3,1473,1473,3665.0,78.79047470450939,256.7517985611511,14.153428377460964,28.358452138492872,0,779,12.524879698558363,34.55160652124016
Semi-actuated,1500,4,1557,1557,3681.0,75.45159756171452,275.64028776978415,13.265895953757225,26.082851637764932,0,693,13.325192062240884,35.75822677778069
Semi-actuated,1500,5,1539,1539,3681.5,77.47531211635636,268.2517985611511,13.644574398960364,26.189733593242366,0,758,12.239105696419832,33.973640526950135
Semi-actuated,1500,6,1558,1558,3696.5,70.33926661536461,268.64028776978415,12.17265725288832,24.82894736842105,0,698,12.26237130857884,34.914675529614215
Semi-actuated,1500,7,1444,1444,3667.5,69.01634915022177,255.14028776978418,11.981301939058172,24.718836565096954,0,706,12.593939866313443,35.49943512265577
Semi-actuated,1500,8,1456,1456,3668.5,69.3083103905939,278.93693693693695,12.160714285714286,24.431318681318682,0,718,12.056294257830988,34.08666062083785
Semi-actuated,2000,1,2048,2048,4178.5,87.95383028458966,282.64028776978415,15.84912109375,29.892333984375,0,751,12.540932946630466,34.5691712791795
